"stateroute","PCA.min","PCA.max","PCA.slope","PCA.mid","PCA.curvature","PCN.min","PCN.max","PCN.slope","PCN.mid","PCN.curvature"
11413,0.674698795180723,0.845454545454545,0.112449247774145,1.70126985535006,1.43145565992864,0.674698795180723,0.845454545454545,0.113812444484568,3.06398350051314,1.45536591235034
11608,0.686440677966102,0.831775700934579,0.129696951643415,1.70126985535006,0.852652486107353,0.686440677966102,0.831775700934579,0.132215936514285,3.16302215571572,0.820798672932785
14005,0.732673267326733,0.862944162436548,0.0956658824650275,1.70126985535006,0.917983506666535,0.732673267326733,0.862944162436548,0.0954036495005042,3.10591874028637,0.87686394854292
14006,0.732673267326733,0.862944162436548,0.0956658824650275,1.70126985535006,0.886044196297019,0.732673267326733,0.862944162436548,0.0954036495005042,3.10591874028637,0.855890489994067
14014,0.643564356435644,0.848341232227488,0.156109222828612,1.70126985535006,0.97826972626432,0.643564356435644,0.848341232227488,0.161325699057891,3.16581786112409,0.993488637053639
14016,0.63265306122449,0.869158878504673,0.155748202943202,1.70126985535006,0.835403215408432,0.63265306122449,0.869158878504673,0.157640856994128,3.09009338259522,0.79210911632236
14018,0.48936170212766,0.84331797235023,0.276797867829134,1.87736111440574,1.38281122037923,0.48936170212766,0.84331797235023,0.221729938517805,3.05842602445701,0.920268378156093
14021,0.635135135135135,0.862385321100917,0.153846669824619,1.70126985535006,0.774149353810282,0.635135135135135,0.862385321100917,0.218450638783432,3.53828041898329,0.873812971570164
14059,0.377358490566038,0.831325301204819,0.324739837062123,2.00229985101404,1.90235197248299,0.377358490566038,0.831325301204819,0.304686703392764,3.23129964541505,1.44096739174775
14071,0.752577319587629,0.855813953488372,0.096758933907552,1.70126985535006,0.719335783717736,0.752577319587629,0.855813953488372,0.101847247424489,3.21792240410163,0.741417413810725
14080,0.626262626262626,0.86,0.175420764837559,1.70126985535006,1.10931279798995,0.626262626262626,0.86,0.206073995339266,3.31375476711065,1.10075286449953
14082,0.524271844660194,0.851162790697674,0.253397035364982,1.70126985535006,1.61869220148004,0.524271844660194,0.851162790697674,0.213056312358652,2.88180296066885,1.1503843151991
14083,0.752577319587629,0.869158878504673,0.0868441516837602,1.70126985535006,0.597649213969747,0.752577319587629,0.869158878504673,0.0956589885144919,3.21792240410163,0.638671390845633
14089,0.5,0.834008097165992,0.219957215007754,1.70126985535006,1.10606320449368,0.5,0.834008097165992,0.249478607192232,3.20308730647245,1.06118204479521
14098,0.719101123595506,0.863849765258216,0.159095321675732,1.70126985535006,1.02101590845206,0.719101123595506,0.863849765258216,0.169730880049785,3.26920151037029,1.05366126835661
14106,0.5625,0.815261044176707,0.188287227106365,1.70126985535006,1.18389662647206,0.5625,0.815261044176707,0.173574119213541,2.98751730437537,1.02253772118443
14108,0.70873786407767,0.865470852017937,0.107731753569484,1.70126985535006,1.27484155740098,0.70873786407767,0.865470852017937,0.123171421443444,3.28789126595403,1.25311895479033
14140,0.377358490566038,0.854251012145749,0.327796134618039,1.87736111440574,1.05819620462246,0.377358490566038,0.854251012145749,0.309327054187476,3.29367186554238,0.981667641092939
14153,0.719101123595506,0.867298578199052,0.0975937399794058,1.70126985535006,1.02114666484933,0.719101123595506,0.867298578199052,0.112875230701215,3.26920151037029,1.04992750522856
14155,0.635135135135135,0.862385321100917,0.153846669824619,1.70126985535006,0.785575673427055,0.635135135135135,0.862385321100917,0.218450638783432,3.53828041898329,0.811370356545073
14156,0.638095238095238,0.862222222222222,0.147596263847935,1.70126985535006,0.761514429266407,0.638095238095238,0.862222222222222,0.138045250912434,2.9903684580378,0.902130854444361
