"","site","species","year","count"
"1611","d228_rp","Veery",1990,1.5
"1642","d228_rp","Red-eyed Vireo",1990,19.5
"1662","d228_rp","Bk.-thr. Green Warbler",1990,11
"1671","d228_rp","Bk.-thr. Blue Warbler",1990,8
"1682","d228_rp","Yellow-r. Warbler",1990,2
"1692","d228_rp","Blackburnian Warbler",1990,1
"1712","d228_rp","Ovenbird",1990,25.5
"1722","d228_rp","American Redstart",1990,19.5
"1742","d228_rp","Scarlet Tanager",1990,3.5
"1751","d228_rp","Rose-br. Grosbeak",1990,2.5
"1842","d228_rp","Yellow-b.Sapsucker",1991,1.5
"1852","d228_rp","Hairy Woodpecker",1991,2
"1861","d228_rp","Downy Woodpecker",1991,2
"1881","d228_rp","Wood Pewee",1991,2.5
"1901","d228_rp","Black-c. Chickadee",1991,1.5
"1921","d228_rp","White-br. Nuthatch",1991,1.5
"1942","d228_rp","Winter Wren",1991,2.5
"1962","d228_rp","Hermit Thrush",1991,1.5
"1972","d228_rp","Veery",1991,2.5
"2002","d228_rp","Red-eyed Vireo",1991,23.5
"2022","d228_rp","Bk.-thr. Green Warbler",1991,9
"2031","d228_rp","Bk.-thr. Blue Warbler",1991,6
"2041","d228_rp","Yellow-r. Warbler",1991,2
"2051","d228_rp","Blackburnian Warbler",1991,2
"2072","d228_rp","Ovenbird",1991,21
"2082","d228_rp","American Redstart",1991,9
"2102","d228_rp","Scarlet Tanager",1991,2.5
"2112","d228_rp","Rose-br. Grosbeak",1991,2
"2202","d228_rp","Yellow-b.Sapsucker",1992,1
"2211","d228_rp","Hairy Woodpecker",1992,2
"2222","d228_rp","Downy Woodpecker",1992,1
"224","d228_rp","Wood Pewee",1992,1.5
"2261","d228_rp","Black-c. Chickadee",1992,2.5
"227","d228_rp","Brown Creeper",1992,2
"2281","d228_rp","White-br. Nuthatch",1992,2
"230","d228_rp","Winter Wren",1992,1.5
"2322","d228_rp","Hermit Thrush",1992,4.5
"2332","d228_rp","Veery",1992,3.5
"2361","d228_rp","Red-eyed Vireo",1992,19.5
"237","d228_rp","Blk. & Wh. Warbler",1992,2
"2382","d228_rp","Bk.-thr. Green Warbler",1992,9.5
"2391","d228_rp","Bk.-thr. Blue Warbler",1992,4
"2431","d228_rp","Ovenbird",1992,19.5
"2442","d228_rp","American Redstart",1992,10
"2462","d228_rp","Scarlet Tanager",1992,5.5
"2472","d228_rp","Rose-br. Grosbeak",1992,2
"2561","d228_rp","Yellow-b.Sapsucker",1993,1
"2572","d228_rp","Hairy Woodpecker",1993,1.5
"2581","d228_rp","Downy Woodpecker",1993,1
"259","d228_rp","Least Flycatcher",1993,4
"2601","d228_rp","Wood Pewee",1993,1
"2621","d228_rp","Black-c. Chickadee",1993,1
"2641","d228_rp","White-br. Nuthatch",1993,2
"266","d228_rp","Winter Wren",1993,0.5
"2681","d228_rp","Hermit Thrush",1993,1
"2691","d228_rp","Veery",1993,4.5
"2722","d228_rp","Red-eyed Vireo",1993,24.5
"2741","d228_rp","Bk.-thr. Green Warbler",1993,8.5
"2751","d228_rp","Bk.-thr. Blue Warbler",1993,9
"2791","d228_rp","Ovenbird",1993,18
"2802","d228_rp","American Redstart",1993,9.5
"2822","d228_rp","Scarlet Tanager",1993,2
"2832","d228_rp","Rose-br. Grosbeak",1993,1
"2921","d228_rp","Yellow-b.Sapsucker",1994,1
"2932","d228_rp","Hairy Woodpecker",1994,0.5
"2982","d228_rp","Black-c. Chickadee",1994,2
"3011","d228_rp","Red-br. Nuthatch",1994,1
"302","d228_rp","Winter Wren",1994,1
"3041","d228_rp","Hermit Thrush",1994,0.5
"3051","d228_rp","Veery",1994,3.5
"3071","d228_rp","Solitary Vireo",1994,0.5
"3082","d228_rp","Red-eyed Vireo",1994,18
"3102","d228_rp","Bk.-thr. Green Warbler",1994,5.5
"3112","d228_rp","Bk.-thr. Blue Warbler",1994,8
"3151","d228_rp","Ovenbird",1994,12
"3162","d228_rp","American Redstart",1994,4.5
"3182","d228_rp","Scarlet Tanager",1994,3
"3191","d228_rp","Rose-br. Grosbeak",1994,2
"3282","d228_rp","Yellow-b.Sapsucker",1995,1
"3292","d228_rp","Hairy Woodpecker",1995,1.5
"330","d228_rp","Downy Woodpecker",1995,2
"332","d228_rp","Wood Pewee",1995,2
"3341","d228_rp","Black-c. Chickadee",1995,1
"3401","d228_rp","Hermit Thrush",1995,2
"3411","d228_rp","Veery",1995,3
"3441","d228_rp","Red-eyed Vireo",1995,17
"3462","d228_rp","Bk.-thr. Green Warbler",1995,8.5
"3472","d228_rp","Bk.-thr. Blue Warbler",1995,9.5
"3511","d228_rp","Ovenbird",1995,11
"3521","d228_rp","American Redstart",1995,6
"3542","d228_rp","Scarlet Tanager",1995,4
"3551","d228_rp","Rose-br. Grosbeak",1995,2
"3642","d228_rp","Yellow-b.Sapsucker",1996,1
"3651","d228_rp","Hairy Woodpecker",1996,1
"3662","d228_rp","Downy Woodpecker",1996,1
"3681","d228_rp","Wood Pewee",1996,2
"3711","d228_rp","Brown Creeper",1996,2
"3741","d228_rp","Winter Wren",1996,1
"3761","d228_rp","Hermit Thrush",1996,2
"3771","d228_rp","Veery",1996,1
"379","d228_rp","Solitary Vireo",1996,0.5
"3801","d228_rp","Red-eyed Vireo",1996,15
"3821","d228_rp","Bk.-thr. Green Warbler",1996,11
"3831","d228_rp","Bk.-thr. Blue Warbler",1996,7.5
"3841","d228_rp","Yellow-r. Warbler",1996,1
"3852","d228_rp","Blackburnian Warbler",1996,2
"3872","d228_rp","Ovenbird",1996,13
"3881","d228_rp","American Redstart",1996,8
"3901","d228_rp","Scarlet Tanager",1996,3
"3911","d228_rp","Rose-br. Grosbeak",1996,3
"4002","d228_rp","Yellow-b.Sapsucker",1997,2
"4011","d228_rp","Hairy Woodpecker",1997,1.5
"4022","d228_rp","Downy Woodpecker",1997,1
"4062","d228_rp","Black-c. Chickadee",1997,4
"408","d228_rp","White-br. Nuthatch",1997,2
"4122","d228_rp","Hermit Thrush",1997,2.5
"4141","d228_rp","Swainson's Thrush",1997,0.5
"4161","d228_rp","Red-eyed Vireo",1997,22.5
"4181","d228_rp","Bk.-thr. Green Warbler",1997,7
"4191","d228_rp","Bk.-thr. Blue Warbler",1997,10
"4201","d228_rp","Yellow-r. Warbler",1997,1
"4212","d228_rp","Blackburnian Warbler",1997,1
"4232","d228_rp","Ovenbird",1997,15
"4242","d228_rp","American Redstart",1997,4
"4261","d228_rp","Scarlet Tanager",1997,4
"4272","d228_rp","Rose-br. Grosbeak",1997,3
"4362","d228_rp","Yellow-b.Sapsucker",1998,2
"4382","d228_rp","Downy Woodpecker",1998,2
"441","d228_rp","Blue Jay",1998,1
"4422","d228_rp","Black-c. Chickadee",1998,3
"4431","d228_rp","Brown Creeper",1998,3
"4461","d228_rp","Winter Wren",1998,2
"4471","d228_rp","Wood Thrush",1998,2
"4482","d228_rp","Hermit Thrush",1998,2.5
"4521","d228_rp","Red-eyed Vireo",1998,21
"4541","d228_rp","Bk.-thr. Green Warbler",1998,6
"4551","d228_rp","Bk.-thr. Blue Warbler",1998,8
"456","d228_rp","Yellow-r. Warbler",1998,2.5
"4591","d228_rp","Ovenbird",1998,13.5
"4602","d228_rp","American Redstart",1998,5
"4621","d228_rp","Scarlet Tanager",1998,2.5
"4631","d228_rp","Rose-br. Grosbeak",1998,2.5
"4722","d228_rp","Yellow-b.Sapsucker",1999,4
"4732","d228_rp","Hairy Woodpecker",1999,1.5
"4742","d228_rp","Downy Woodpecker",1999,0.5
"4761","d228_rp","Wood Pewee",1999,3
"477","d228_rp","Blue Jay",1999,1
"4782","d228_rp","Black-c. Chickadee",1999,4
"4801","d228_rp","White-br. Nuthatch",1999,2
"4841","d228_rp","Hermit Thrush",1999,2.5
"4871","d228_rp","Solitary Vireo",1999,1
"4882","d228_rp","Red-eyed Vireo",1999,19.5
"4901","d228_rp","Bk.-thr. Green Warbler",1999,11.5
"4911","d228_rp","Bk.-thr. Blue Warbler",1999,14.5
"4951","d228_rp","Ovenbird",1999,11.5
"4961","d228_rp","American Redstart",1999,2.5
"4982","d228_rp","Scarlet Tanager",1999,2.5
"4992","d228_rp","Rose-br. Grosbeak",1999,2
"507","d228_rp","Pileated Woodpecker",2000,0.5
"5081","d228_rp","Yellow-b.Sapsucker",2000,2
"5091","d228_rp","Hairy Woodpecker",2000,2
"5142","d228_rp","Black-c. Chickadee",2000,1
"5181","d228_rp","Winter Wren",2000,2.5
"5202","d228_rp","Hermit Thrush",2000,3.5
"5242","d228_rp","Red-eyed Vireo",2000,25
"5262","d228_rp","Bk.-thr. Green Warbler",2000,12.5
"5272","d228_rp","Bk.-thr. Blue Warbler",2000,12
"5311","d228_rp","Ovenbird",2000,14
"5321","d228_rp","American Redstart",2000,6
"5341","d228_rp","Scarlet Tanager",2000,4.5
"5351","d228_rp","Rose-br. Grosbeak",2000,2
"49","d228_sm","Yellow-b.Sapsucker",1986,1.5
"540","d228_sm","Hairy Woodpecker",1986,2
"13","d228_sm","White-br. Nuthatch",1986,1
"155","d228_sm","Winter Wren",1986,0.5
"1812","d228_sm","Veery",1986,1
"2012","d228_sm","Solitary Vireo",1986,1
"21","d228_sm","Red-eyed Vireo",1986,23
"2311","d228_sm","Bk.-thr. Green Warbler",1986,7
"2410","d228_sm","Bk.-thr. Blue Warbler",1986,2
"289","d228_sm","Ovenbird",1986,9
"294","d228_sm","American Redstart",1986,12.5
"3110","d228_sm","Scarlet Tanager",1986,1
"3210","d228_sm","Rose-br. Grosbeak",1986,3
"417","d228_sm","Yellow-b.Sapsucker",1987,1
"4213","d228_sm","Hairy Woodpecker",1987,1
"439","d228_sm","Downy Woodpecker",1987,2
"47","d228_sm","Blue Jay",1987,0.5
"4811","d228_sm","Black-c. Chickadee",1987,1
"5011","d228_sm","White-br. Nuthatch",1987,2
"5210","d228_sm","Winter Wren",1987,1.5
"543","d228_sm","Hermit Thrush",1987,1.5
"567","d228_sm","Swainson's Thrush",1987,1
"584","d228_sm","Red-eyed Vireo",1987,16.5
"601","d228_sm","Bk.-thr. Green Warbler",1987,7
"617","d228_sm","Bk.-thr. Blue Warbler",1987,4
"652","d228_sm","Ovenbird",1987,15.5
"666","d228_sm","American Redstart",1987,11.5
"681","d228_sm","Scarlet Tanager",1987,3
"69","d228_sm","Rose-br. Grosbeak",1987,2.5
"794","d228_sm","Hairy Woodpecker",1988,1
"834","d228_sm","Wood Pewee",1988,1
"8410","d228_sm","Blue Jay",1988,1
"911","d228_sm","Hermit Thrush",1988,1.5
"935","d228_sm","Swainson's Thrush",1988,0.5
"953","d228_sm","Red-eyed Vireo",1988,17
"973","d228_sm","Bk.-thr. Green Warbler",1988,10.5
"981","d228_sm","Bk.-thr. Blue Warbler",1988,5.5
"1023","d228_sm","Ovenbird",1988,13.5
"1034","d228_sm","American Redstart",1988,13
"1057","d228_sm","Scarlet Tanager",1988,2.5
"1061","d228_sm","Rose-br. Grosbeak",1988,1.5
"1151","d228_sm","Yellow-b.Sapsucker",1989,2
"1163","d228_sm","Hairy Woodpecker",1989,1.5
"117","d228_sm","Downy Woodpecker",1989,2
"1209","d228_sm","Wood Pewee",1989,2
"1223","d228_sm","Black-c. Chickadee",1989,1.5
"1249","d228_sm","White-br. Nuthatch",1989,1
"1287","d228_sm","Hermit Thrush",1989,2
"1292","d228_sm","Veery",1989,3
"1315","d228_sm","Solitary Vireo",1989,2
"1326","d228_sm","Red-eyed Vireo",1989,15.5
"1341","d228_sm","Bk.-thr. Green Warbler",1989,8
"1356","d228_sm","Bk.-thr. Blue Warbler",1989,10.5
"1399","d228_sm","Ovenbird",1989,16.5
"1402","d228_sm","American Redstart",1989,14.5
"142","d228_sm","Scarlet Tanager",1989,3.5
"1434","d228_sm","Rose-br. Grosbeak",1989,2
"153","d228_sm","Hairy Woodpecker",1990,3
"1593","d228_sm","Black-c. Chickadee",1990,2
"1612","d228_sm","White-br. Nuthatch",1990,1.5
"1631","d228_sm","Winter Wren",1990,2
"1651","d228_sm","Hermit Thrush",1990,1.5
"1663","d228_sm","Veery",1990,2
"1672","d228_sm","Swainson's Thrush",1990,2
"1693","d228_sm","Red-eyed Vireo",1990,18
"1713","d228_sm","Bk.-thr. Green Warbler",1990,9
"1723","d228_sm","Bk.-thr. Blue Warbler",1990,6.5
"1732","d228_sm","Yellow-r. Warbler",1990,2
"1761","d228_sm","Ovenbird",1990,19
"1771","d228_sm","American Redstart",1990,19
"1791","d228_sm","Scarlet Tanager",1990,3
"180","d228_sm","Rose-br. Grosbeak",1990,2.5
"189","d228_sm","Yellow-b.Sapsucker",1991,2.5
"1902","d228_sm","Hairy Woodpecker",1991,2
"1951","d228_sm","Blue Jay",1991,1
"1963","d228_sm","Black-c. Chickadee",1991,1.5
"198","d228_sm","White-br. Nuthatch",1991,2
"2003","d228_sm","Winter Wren",1991,2
"2023","d228_sm","Hermit Thrush",1991,1.5
"2032","d228_sm","Veery",1991,2
"2052","d228_sm","Solitary Vireo",1991,1.5
"2061","d228_sm","Red-eyed Vireo",1991,19
"2083","d228_sm","Bk.-thr. Green Warbler",1991,8
"2091","d228_sm","Bk.-thr. Blue Warbler",1991,6
"213","d228_sm","Ovenbird",1991,12.5
"2141","d228_sm","American Redstart",1991,7
"216","d228_sm","Scarlet Tanager",1991,1.5
"2171","d228_sm","Rose-br. Grosbeak",1991,2
"2262","d228_sm","Yellow-b.Sapsucker",1992,2
"2271","d228_sm","Hairy Woodpecker",1992,1
"2282","d228_sm","Downy Woodpecker",1992,0.5
"2333","d228_sm","Black-c. Chickadee",1992,4
"2352","d228_sm","White-br. Nuthatch",1992,2
"2371","d228_sm","Winter Wren",1992,1.5
"2392","d228_sm","Hermit Thrush",1992,3.5
"2401","d228_sm","Veery",1992,1.5
"2421","d228_sm","Solitary Vireo",1992,2
"2432","d228_sm","Red-eyed Vireo",1992,13.5
"2452","d228_sm","Bk.-thr. Green Warbler",1992,10
"2463","d228_sm","Bk.-thr. Blue Warbler",1992,5.5
"2473","d228_sm","Yellow-r. Warbler",1992,1
"2501","d228_sm","Ovenbird",1992,19.5
"251","d228_sm","American Redstart",1992,9
"2531","d228_sm","Scarlet Tanager",1992,3
"254","d228_sm","Rose-br. Grosbeak",1992,2
"2642","d228_sm","Hairy Woodpecker",1993,2.5
"265","d228_sm","Downy Woodpecker",1993,1
"2723","d228_sm","White-br. Nuthatch",1993,1
"2761","d228_sm","Hermit Thrush",1993,2.5
"2803","d228_sm","Red-eyed Vireo",1993,16.5
"2823","d228_sm","Bk.-thr. Green Warbler",1993,12.5
"2833","d228_sm","Bk.-thr. Blue Warbler",1993,7.5
"2871","d228_sm","Ovenbird",1993,17.5
"2881","d228_sm","American Redstart",1993,6
"2901","d228_sm","Scarlet Tanager",1993,2
"2911","d228_sm","Rose-br. Grosbeak",1993,1
"3012","d228_sm","Hairy Woodpecker",1994,1.5
"3052","d228_sm","Wood Pewee",1994,1
"3072","d228_sm","Black-c. Chickadee",1994,3
"3091","d228_sm","White-br. Nuthatch",1994,0.5
"313","d228_sm","Hermit Thrush",1994,1
"3152","d228_sm","Swainson's Thrush",1994,0.5
"317","d228_sm","Red-eyed Vireo",1994,14
"3192","d228_sm","Bk.-thr. Green Warbler",1994,7
"3201","d228_sm","Bk.-thr. Blue Warbler",1994,7
"3241","d228_sm","Ovenbird",1994,9
"327","d228_sm","Scarlet Tanager",1994,4
"3283","d228_sm","Rose-br. Grosbeak",1994,2
"338","d228_sm","Hairy Woodpecker",1995,1
"3421","d228_sm","Wood Pewee",1995,2
"350","d228_sm","Hermit Thrush",1995,2
"3543","d228_sm","Red-eyed Vireo",1995,18
"356","d228_sm","Bk.-thr. Green Warbler",1995,5
"357","d228_sm","Bk.-thr. Blue Warbler",1995,8
"3611","d228_sm","Ovenbird",1995,14.5
"3621","d228_sm","American Redstart",1995,8.5
"3643","d228_sm","Scarlet Tanager",1995,1
"3652","d228_sm","Rose-br. Grosbeak",1995,2
"3742","d228_sm","Yellow-b.Sapsucker",1996,0.5
"3751","d228_sm","Hairy Woodpecker",1996,1
"3762","d228_sm","Downy Woodpecker",1996,0.5
"3811","d228_sm","Black-c. Chickadee",1996,2
"3853","d228_sm","Winter Wren",1996,2
"3873","d228_sm","Hermit Thrush",1996,1
"3912","d228_sm","Red-eyed Vireo",1996,15
"393","d228_sm","Bk.-thr. Green Warbler",1996,8
"394","d228_sm","Bk.-thr. Blue Warbler",1996,6
"3982","d228_sm","Ovenbird",1996,18
"4012","d228_sm","Scarlet Tanager",1996,1
"411","d228_sm","Yellow-b.Sapsucker",1997,1
"4123","d228_sm","Hairy Woodpecker",1997,1
"4162","d228_sm","Wood Pewee",1997,2
"4182","d228_sm","Black-c. Chickadee",1997,1.5
"4202","d228_sm","White-br. Nuthatch",1997,1
"4221","d228_sm","Winter Wren",1997,2
"4243","d228_sm","Hermit Thrush",1997,2
"4281","d228_sm","Red-eyed Vireo",1997,19.5
"4301","d228_sm","Bk.-thr. Green Warbler",1997,4.5
"431","d228_sm","Bk.-thr. Blue Warbler",1997,6
"4321","d228_sm","Yellow-r. Warbler",1997,1.5
"4351","d228_sm","Ovenbird",1997,10.5
"4383","d228_sm","Scarlet Tanager",1997,2
"4483","d228_sm","Yellow-b.Sapsucker",1998,1
"449","d228_sm","Hairy Woodpecker",1998,1.5
"4501","d228_sm","Downy Woodpecker",1998,1
"4552","d228_sm","Black-c. Chickadee",1998,2
"4561","d228_sm","Brown Creeper",1998,2
"4592","d228_sm","Winter Wren",1998,1
"4611","d228_sm","Hermit Thrush",1998,2.5
"4651","d228_sm","Red-eyed Vireo",1998,16
"467","d228_sm","Bk.-thr. Green Warbler",1998,11
"4681","d228_sm","Bk.-thr. Blue Warbler",1998,5.5
"4723","d228_sm","Ovenbird",1998,18.5
"4733","d228_sm","American Redstart",1998,6
"4751","d228_sm","Scarlet Tanager",1998,2
"4852","d228_sm","Yellow-b.Sapsucker",1999,2
"4861","d228_sm","Hairy Woodpecker",1999,2.5
"4872","d228_sm","Downy Woodpecker",1999,1.5
"4902","d228_sm","Wood Pewee",1999,0.5
"492","d228_sm","Black-c. Chickadee",1999,2.5
"4931","d228_sm","Brown Creeper",1999,1
"4962","d228_sm","Winter Wren",1999,2
"4983","d228_sm","Hermit Thrush",1999,4
"501","d228_sm","Solitary Vireo",1999,1
"502","d228_sm","Red-eyed Vireo",1999,27
"504","d228_sm","Bk.-thr. Green Warbler",1999,16.5
"505","d228_sm","Bk.-thr. Blue Warbler",1999,11.5
"5061","d228_sm","Yellow-r. Warbler",1999,1
"5092","d228_sm","Ovenbird",1999,14
"5121","d228_sm","Scarlet Tanager",1999,3.5
"522","d228_sm","Yellow-b.Sapsucker",2000,1
"5231","d228_sm","Hairy Woodpecker",2000,0.5
"5243","d228_sm","Downy Woodpecker",2000,1
"5273","d228_sm","Wood Pewee",2000,2
"5291","d228_sm","Black-c. Chickadee",2000,2
"530","d228_sm","Brown Creeper",2000,1
"5312","d228_sm","White-br. Nuthatch",2000,0.5
"533","d228_sm","Winter Wren",2000,1
"5352","d228_sm","Hermit Thrush",2000,2
"5381","d228_sm","Solitary Vireo",2000,1
"539","d228_sm","Red-eyed Vireo",2000,25
"541","d228_sm","Bk.-thr. Green Warbler",2000,20.5
"542","d228_sm","Bk.-thr. Blue Warbler",2000,15
"546","d228_sm","Ovenbird",2000,14.5
"547","d228_sm","American Redstart",2000,2
"5491","d228_sm","Scarlet Tanager",2000,3
"5501","d228_sm","Rose-br. Grosbeak",2000,0.5
