"CompAOU","focalAOU","Competitor","Focal","CompSciName","FocalSciName","Family","FocalMass","CompMass","focalcat","compcat"
6270,6330,"Warbling Vireo","Bell's Vireo","Vireo gilvus","Vireo bellii","Vireonidae",9,15,"Vireo_bellii","Vireo_gilvus"
6270,6320,"Warbling Vireo","Hutton's Vireo","Vireo gilvus","Vireo huttoni","Vireonidae",12,15,"Vireo_huttoni","Vireo_gilvus"
6280,6330,"Yellow-throated Vireo","Bell's Vireo","Vireo flavifrons","Vireo bellii","Vireonidae",9,18,"Vireo_bellii","Vireo_flavifrons"
6290,6260,"Blue-headed Vireo","Philadelphia Vireo","Vireo solitarius","Vireo philadelphicus","Vireonidae",12,17,"Vireo_philadelphicus","Vireo_solitarius"
6292,6320,"Cassin's Vireo","Hutton's Vireo","Vireo cassinii","Vireo huttoni","Vireonidae",12,17,"Vireo_huttoni","Vireo_cassinii"
6320,6292,"Hutton's Vireo","Cassin's Vireo","Vireo huttoni","Vireo cassinii","Vireonidae",17,12,"Vireo_cassinii","Vireo_huttoni"
6360,6370,"Black-and-white Warbler","Prothonotary Warbler","Mniotilta varia","Protonotaria citrea","Parulidae",15.75,11,"Protonotaria_citrea","Mniotilta_varia"
6360,6630,"Black-and-white Warbler","Yellow-throated Warbler","Mniotilta varia","Dendroica dominica","Parulidae",9,11,"Dendroica_dominica","Mniotilta_varia"
6370,6360,"Prothonotary Warbler","Black-and-white Warbler","Protonotaria citrea","Mniotilta varia","Parulidae",11,15.75,"Mniotilta_varia","Protonotaria_citrea"
6370,6630,"Prothonotary Warbler","Yellow-throated Warbler","Protonotaria citrea","Dendroica dominica","Parulidae",9,15.75,"Dendroica_dominica","Protonotaria_citrea"
6380,6770,"Swainson's Warbler","Kentucky Warbler","Limnothlypis swainsonii","Oporornis formosus","Parulidae",14,19,"Oporornis_formosus","Limnothlypis_swainsonii"
6380,6760,"Swainson's Warbler","Louisiana Waterthrush","Limnothlypis swainsonii","Parkesia motacilla","Parulidae",21,19,"Parkesia_motacilla","Limnothlypis_swainsonii"
6380,6750,"Swainson's Warbler","Northern Waterthrush","Limnothlypis swainsonii","Parkesia noveboracensis","Parulidae",18,19,"Parkesia_noveboracensis","Limnothlypis_swainsonii"
6390,6410,"Worm-eating Warbler","Blue-winged Warbler","Helmitheros vermivorum","Vermivora cyanoptera","Parulidae",8,13,"Vermivora_cyanoptera","Helmitheros_vermivorum"
6410,6390,"Blue-winged Warbler","Worm-eating Warbler","Vermivora cyanoptera","Helmitheros vermivorum","Parulidae",13,8,"Helmitheros_vermivorum","Vermivora_cyanoptera"
6430,6650,"Lucy's Warbler","Black-throated Gray Warbler","Vermivora luciae","Dendroica nigrescens","Parulidae",8.5,7,"Dendroica_nigrescens","Vermivora_luciae"
6430,6900,"Lucy's Warbler","Red-faced Warbler","Vermivora luciae","Cardellina rubrifrons","Parulidae",10,7,"Cardellina_rubrifrons","Vermivora_luciae"
6440,6460,"Virginia's Warbler","Orange-crowned Warbler","Vermivora virginiae","Vermivora celata","Parulidae",9,8,"Vermivora_celata","Vermivora_virginiae"
6450,6620,"Nashville Warbler","Blackburnian Warbler","Vermivora ruficapilla","Dendroica fusca","Parulidae",10,9,"Dendroica_fusca","Vermivora_ruficapilla"
6450,6610,"Nashville Warbler","Blackpoll Warbler","Vermivora ruficapilla","Dendroica striata","Parulidae",13,9,"Dendroica_striata","Vermivora_ruficapilla"
6450,6790,"Nashville Warbler","Mourning Warbler","Vermivora ruficapilla","Oporornis philadelphia","Parulidae",12.75,9,"Oporornis_philadelphia","Vermivora_ruficapilla"
