AOU,Genus,Species,CommonName,Mass(g),added by AHH,Water Bird,Unknown,Notes
7473,Phylloscopus,sibilatrix,Wood Warbler,8,0,0,0,
7474,Phylloscopus,fuscatus,Dusky Warbler,9,0,0,0,
7475,Locustella,lanceolata,Lanceolated Warbler,11,0,0,0,
7480,Regulus,satrapa,Golden-crowned Kinglet,6.25,0,0,0,
7490,Regulus,calendula,Ruby-crowned Kinglet,7,0,0,0,
7491,Prunella,montanella,Siberian Accentor,18,0,0,0,
7510,Polioptila,caerulea,Blue-gray Gnatcatcher,6,0,0,0,
7520,Polioptila,melanura,Black-tailed Gnatcatcher,5,0,0,0,
7530,Polioptila,californica,California Gnatcatcher,6,0,0,0,
7531,Polioptila,nigriceps,Black-capped Gnatcatcher,6,0,0,0,
7540,Myadestes,townsendi,Townsend's Solitaire,34,0,0,0,
7541,Myadestes,obscurus,Omao,50,0,0,0,
7550,Catharus,mustelinus,Wood Thrush,47,0,0,0,
7560,Catharus,fuscescens,Veery,31,0,0,0,
7570,Catharus,minimus,Gray-cheeked Thrush,33,0,0,0,
7571,Catharus,bicknelli,Bicknell's Thrush,33,2,0,0,
7580,Catharus,ustulatus,Swainson's Thrush,31,0,0,0,
7590,Catharus,guttatus,Hermit Thrush,31,0,0,0,
7600,Turdus,iliacus,Redwing,61,0,0,0,
7610,Turdus,migratorius,American Robin,77,0,0,0,
7611,Turdus,merula,Eurasian Blackbird,93.67,0,0,0,
7612,Turdus,pilaris,Fieldfare,106.75,0,0,0,
7613,Turdus,obscurus,Eyebrowed Thrush,63,0,0,0,
7614,Turdus,naumanni,Dusky Thrush,72,0,0,0,
7621,Turdus,grayi,Clay-colored Robin,74,0,0,0,
7622,Turdus,rufopalliatus,Rufous-backed Robin,77,0,0,0,
7630,Zoothera,naevia,Varied Thrush,78,0,0,0,
7640,Luscinia,svecica,Bluethroat,16.75,0,0,0,
7641,Luscinia,calliope,Siberian Rubythroat,19,0,0,0,
7650,Oenanthe,oenanthe,Northern Wheatear,25.5,0,0,0,
7660,Sialia,sialis,Eastern Bluebird,32,0,0,0,
7670,Sialia,mexicana,Western Bluebird,28,0,0,0,
7680,Sialia,currucoides,Mountain Bluebird,30,0,0,0,
7690,Copsychus,malabaricus,White-rumped Shama,32,0,0,0,
7710,Ficedula,parva,Red-breasted Flycatcher,11,0,0,0,
7720,Muscicapa,sibirica,Siberian Flycatcher,10,0,0,0,
7730,Muscicapa,griseisticta,Gray-spotted Flycatcher,16,0,0,0,
7740,Telespiza,cantans,Laysan Finch,33,0,0,0,
7770,Loxioides,bailleui,Palila,36,0,0,0,
7810,Pseudonestor,xanthophrys,Maui Parrotbill,20,0,0,0,
7950,Loxops,coccineus,Akepa,11,0,0,0,
7980,Vestiaria,coccinea,Iiwi,25,0,0,0,
8020,Himatione,sanguinea,Apapane,25,0,0,0,
8050,Uraeginthus,bengalus,Red-cheeked Cordonbleu,10,0,0,0,
8060,Estrilda,caerulescens,Lavender Waxbill,8,0,0,0,
8070,Estrilda,melpoda,Orange-cheeked Waxbill,8,0,0,0,
8080,Estrilda,troglodytes,Black-rumped Waxbill,6,0,0,0,
8081,Estrilda,astrild,Common Waxbill,8,0,0,0,
8090,Amandava,amandava,Red Avadavat,10,0,0,0,
8110,Lonchura,punctulata,Nutmeg Mannikin,14,0,0,0,
8130,Padda,oryzivora,Java Sparrow,25,0,0,0,
10200,Dendrocygna,arborea,West Indian Whistling-Duck,1150,0,0,0,
10210,Cairina,moschata,Muscovy Duck,2915,0,0,0,
10520,Micrastur,semitorquatus,Collared Forest-Falcon,562,0,0,0,
10530,Falco,rufigularis,Bat Falcon,169.25,0,0,0,
10600,Penelope,purpurascens,Crested Guan,2060,0,0,0,
10780,Callipepla,douglasii,Elegant Quail,172,0,0,0,
10860,Porzana,flaviventer,Yellow-breasted Crake,25,0,0,0,
10990,Columba,inornata,Plain Pigeon,250,0,0,0,
11120,Geotrygon,mystacea,Bridled Quail-Dove,230,0,0,0,
11290,Aratinga,canicularis,Orange-fronted Parakeet,71,0,0,0,
11300,Aratinga,pertinax,Brown-throated Parakeet,86,0,0,0,
11310,Ara,severa,Chestnut-frontedMacaw,430,0,0,0,
11380,Rhynchopsitta,terrisi,Maroon-fronted Parrot,442,0,0,0,
11430,Brotogeris,jugularis,Orange-chinned Parakeet,61,0,0,0,
11550,Amazona,vittata,Puerto Rican Parrot,300,0,0,0,
11570,Amazona,finschi,Lilac-crowned Parrot,302,0,0,0,
11580,Amazona,autumnalis,Red-lored Parrot,416,0,0,0,
11890,Otus,nudipes,Puerto Rican Screech-Owl,130,0,0,0,
12120,Caprimulgus,salvini,Tawny-collared Nightjar,59,0,0,0,
12130,Caprimulgus,noctitherus,Puerto Rican Nightjar,36,0,0,0,
12181,Nyctibius,griseus,Common Potoo,185,0,0,0,
12250,Chaetura,brachyura,Short-tailed Swift,18,0,0,0,
12530,Anthracothorax,dominicus,Antillean Mango,5,0,0,0,
12540,Anthracothorax,viridis,Green Mango,7,0,0,0,
12560,Eulampis,holosericeus,Green-throated Carib,6,0,0,0,
12570,Orthorhyncus,cristatus,Antillean CrestedHummingbird,2.75,0,0,0,
12680,Chlorostilbon,maugaeus,Puerto Rican Emerald,3,0,0,0,
13440,Todus,mexicanus,Puerto Rican Tody,5,0,0,0,
13470,Momotus,momota,Blue-crowned Motmot,134.33,0,0,0,
13790,Melanerpes,portoricensis,Puerto Rican Woodpecker,56.25,0,0,0,
14010,Dryocopus,lineatus,Lineated Woodpecker,194,0,0,0,
14040,Campephilus,guatemalensis,Pale-billed Woodpecker,242,0,0,0,
15040,Elaenia,martinica,Caribbean Elaenia,23,0,0,0,
15490,Contopus,latirostris,Lesser Antillean Pewee,10.25,0,0,0,
15680,Myiarchus,antillarum,Puerto Rican Flycatcher,23,0,0,0,
15890,Tityra,semifasciata,Masked Tityra,79,0,0,0,
16351,Corvus,sinaloae,Sinaloa Crow,244,0,0,0,
16820,Myadestes,occidentalis,Brown-backed Solitaire,42,0,0,0,
17070,Turdus,plumbeus,Red-legged Thrush,77,0,0,0,
17180,Margarops,fuscatus,Pearly-eyed Thrasher,75,0,0,0,
17270,Vireo,crassirostris,Thick-billed Vireo,13,0,0,0,
17330,Vireo,latimeri,Puerto Rican Vireo,11,0,0,0,
17510,Dendroica,adelaidae,Adelaide's Warbler,7,0,0,0,
17520,Gracula,religiosa,Hill Myna,192,0,0,0,
17560,Dendroica,angelae,Elfin-woods Warbler,8,0,0,0,
18050,Euphonia,musica,Antillean Euphonia,13,0,0,0,
18480,Nesospingus,speculiferus,Puerto Rican Tanager,36,0,0,0,
18530,Saltator,coerulescens,Grayish Saltator,55,0,0,0,
18910,Loxigilla,portoricensis,Puerto Rican Bullfinch,32.5,0,0,0,
18930,Loxigilla,noctis,Lesser AntilleanBullfinch,18,0,0,0,
19140,Agelaius,xanthomus,Yellow-shoulderedBlackbird,38,0,0,0,
19210,Quiscalus,niger,Greater AntilleanGrackle,69,0,0,0,
19510,Euplectes,afer,Yellow-crowned Bishop,14.5,0,0,0,
19530,Lonchura,cucullata,Bronze Mannikin,9,0,0,0,
19540,Vidua,macroura,Pin-tailed Whydah,14,0,0,0,
20270,Ixobrychus,sinensis,Yellow Bittern,104,0,0,0,
20670,Aix,galericulata,Mandarin Duck,570,0,0,0,
20760,Milvus,migrans,Black Kite,827,0,0,0,
22550,Sterna,bergii,Great Crested Tern,342,0,0,0,
22860,Streptopelia,decaocto,Eurasian Collared-Dove,148.25,0,0,0,
26320,Ficedula,narcissina,Narcissus Flycatcher,14,0,0,0,
40080,Crypturellus,cinnamomeus,Thicket Tinamou,419,0,0,0,
